IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
27.97,18.15,53.9,5.67,33.05,17.95,53.7,37.1,40.15,44.58,24.23,11.95,55.95,50.78,31.85,30.73,7.05,31.52333333333333,6.1,62.62,38.5,29.9,33.47,46.83,19.57
27.36,25.25,49.55,6.1,31.45,17.73,55.83,35.42,37.28,38.18,32.2,12.7,73.18,53.3,36.2,27.6,6.25,43.25,8.38,55.55,36.08,28.3,40.67,42.67,22.6
27.81,26.65,38.42,8.15,30.77,17.45,55.02,33.8,37.85,43.08,28.67,12.4,41.78,51.25,36.35,20.1,6.0,23.43,8.15,45.98,35.8,29.27,53.13,41.5,20.73
31.53,24.82,32.05,6.25,29.8,21.8,56.42,33.98,39.75,40.08,24.98,12.3,21.042857142857144,50.27,35.85,21.92,27.4,16.23,7.68,45.52,36.95,27.32,61.65,35.9,17.65
29.13,23.75,31.3,5.57,27.83,17.05,57.08,35.23,40.62,41.92,28.3,12.5,21.525714285714287,50.22,37.7,24.33,39.83,14.35,7.35,46.23,36.23,27.43,45.18,43.02,16.3
28.24,18.8,28.82,5.93,27.12,16.73,53.92,35.62,39.62,48.1,30.3,12.62,22.9375,51.3,37.4,33.9,34.15,37.6,5.75,47.97,34.75,26.82,43.86,36.3,16.62
28.61,16.45,29.85,6.95,30.83,18.2,55.68,37.15,39.53,51.12,32.38,13.32,27.961250000000003,54.65,36.77,34.78,27.65,57.08,5.9,59.97,35.02,27.97,42.86,37.05,19.27
28.66,24.7,59.1,8.6,25.05,17.6,52.0,38.0,38.05,56.55,48.35,12.15,32.525,59.8,38.1,27.0,,43.230000000000004,4.15,59.4,21.6,26.8,41.57,42.65,19.65
29.78,23.45,47.98,7.38,23.98,22.35,44.38,34.3,37.83,46.83,38.33,13.5,25.50625,49.45,28.98,25.73,29.25,29.774,4.53,49.2,29.62,25.65,40.31,38.58,19.35
29.54,24.57,41.67,9.85,24.95,33.23,44.1,32.65,36.5,35.88,30.67,13.57,21.106250000000003,43.25,33.5,23.15,17.75,42.02,5.38,43.67,32.88,23.65,39.6,35.45,20.57
29.91,24.65,34.65,11.15,24.95,39.92,46.83,32.53,35.92,33.5,27.5,13.3,21.3425,42.62,37.6,18.25,12.32,25.9,5.67,37.35,33.02,22.2,39.19,34.62,19.5
29.87,21.1,31.38,14.15,26.83,46.02,50.48,32.23,36.7,27.68,25.07,13.72,24.011249999999997,42.85,37.55,19.05,10.25,21.15,5.95,36.85,30.48,22.45,38.66,30.7,16.43
29.56,19.27,29.07,12.62,27.05,38.8,47.28,33.58,36.58,30.52,23.6,13.65,23.305,41.72,39.15,21.0,16.12,21.0,5.9,36.55,32.62,22.32,38.22,30.35,16.0
30.28,13.2,26.57,14.1,27.68,22.99,44.08,33.23,34.42,31.45,20.98,13.5,24.56625,42.08,36.85,27.73,21.55,18.95,4.53,36.45,32.35,22.88,36.79,33.5,15.5
30.96,12.45,27.15,11.45,27.23,23.24,41.35,33.55,35.0,29.62,20.8,13.9,37.25888888888889,43.2,38.4,30.5,20.93,16.7,4.72,38.83,33.4,22.8,30.89,33.5,17.45
31.84,12.53,38.35,9.75,27.48,17.855,36.98,30.67,34.95,39.8,21.82,14.15,27.873333333333335,42.2,39.08,26.32,20.15,15.12,5.28,44.6,31.22,22.67,30.22,34.05,18.08
32.46,14.93,48.98,5.68,27.3,18.509999999999998,38.62,30.88,34.05,38.17,21.77,13.62,27.96333333333333,42.42,32.2,25.85,18.25,14.05,5.45,49.15,29.42,23.12,25.73,36.0,19.45
33.43,19.05,48.02,4.33,28.1,18.115000000000002,43.4,29.55,34.3,37.83,20.62,12.9,28.301249999999996,42.58,39.83,23.93,18.1,12.02,6.53,52.85,29.38,23.02,23.34,39.25,22.75
33.74,23.6,38.3,4.08,28.48,23.86,45.92,28.8,35.38,34.18,20.02,13.27,32.095,42.0,41.45,20.75,21.12,11.05,6.65,38.08,30.12,24.45,21.46,42.52,35.0
33.42,24.07,31.77,3.6,29.18,17.5175,43.45,27.75,35.53,32.62,17.85,13.15,30.47888888888889,42.62,40.03,22.85,24.38,10.27,6.67,41.85,28.85,23.32,21.98,34.15,33.33
38.81,21.95,27.88,3.62,30.0,17.875,43.88,27.9,34.7,39.2,17.48,12.58,24.992222222222225,42.75,42.8,25.95,36.65,10.47,6.3,44.85,29.48,22.5,21.84,33.25,28.47
35.39,16.32,26.12,3.42,30.5,16.9575,45.38,29.12,36.45,39.92,17.0,13.05,23.206666666666663,43.8,42.05,30.55,36.62,33.27,5.12,48.85,26.75,24.02,20.09,35.9,26.45
33.03,15.78,27.35,3.55,30.22,21.866666666666664,43.75,30.05,34.28,46.65,17.0,13.35,22.195555555555554,44.23,41.03,30.02,28.98,63.3,5.0,52.15,28.82,24.3,20.46,34.25,18.07
32.21,14.3,44.18,3.8,29.8,21.276666666666667,39.4,29.67,33.1,36.9,19.77,13.35,22.11555555555556,42.33,39.33,26.1,21.38,23.35,4.83,55.3,27.75,23.25,31.11,36.0,18.42
30.77,13.98,46.48,4.45,27.68,21.27333333333333,40.88,30.92,35.88,35.22,20.95,13.05,23.90888888888889,41.7,28.65,24.3,16.6,17.38,5.05,56.35,27.35,25.2,26.34,37.78,18.9
28.95,19.68,43.25,7.62,27.47,21.32,46.6,31.3,37.95,33.92,20.53,12.95,24.76,46.15,30.88,24.6,18.88,16.38,6.05,62.75,27.62,24.27,33.02,39.67,20.07
28.21,22.02,35.17,9.18,26.6,20.793333333333333,53.1,32.9,36.67,33.5,19.75,12.77,21.070000000000004,44.75,31.02,21.57,21.25,35.62,5.67,47.85,28.48,23.7,49.66,45.17,23.98
29.04,20.52,28.85,6.33,26.7,21.206666666666667,49.65,33.53,35.42,34.85,25.35,12.93,23.40125,40.22,30.57,23.0,20.8,32.75,6.12,46.15,28.7,24.8,58.91,36.68,21.2
30.49,18.82,29.17,7.33,26.83,19.966666666666665,47.02,32.4,36.2,34.52,29.58,12.93,25.01375,40.98,35.67,24.25,18.45,26.05,6.5,40.25,28.15,24.15,50.72,31.15,19.42
34.7,15.6,26.4,8.5,25.73,19.284999999999997,42.65,32.6,38.12,35.2,28.12,13.0,24.963333333333335,41.0,36.33,30.6,15.88,27.98,5.4,33.38,28.4,26.12,43.41,31.77,17.68
36.17,12.23,29.2,9.55,31.1,18.245,42.38,31.35,37.42,37.53,26.68,13.1,28.340000000000003,43.65,39.38,32.77,15.65,31.98,5.72,37.92,28.8,26.98,39.08,30.6,18.8
36.02,17.1,37.7,8.05,25.0,19.337500000000002,40.2,35.25,35.8,59.05,38.0,11.6,38.800000000000004,57.4,37.48,26.95,,47.1,5.15,57.3,48.733333333333334,27.1,36.77,42.0,19.85
36.95,17.55,32.55,5.17,22.98,19.9175,36.53,33.5,36.5,45.47,34.65,13.23,31.952222222222222,42.95,27.68,24.65,23.75,30.48,5.07,44.85,43.04777777777778,26.02,35.46,37.55,18.58
34.66,20.32,37.88,10.78,22.73,22.744999999999997,35.1,33.75,33.67,34.38,28.35,12.85,25.200000000000003,40.5,33.05,21.95,18.65,23.72,5.83,47.02,44.14000000000001,22.3,35.09,35.0,18.6
35.22,22.98,36.1,5.08,22.35,24.275,47.83,34.35,33.15,32.08,32.48,12.83,23.6,43.17,37.08,17.68,16.3,19.48,6.3,40.4,44.17444444444445,22.95,35.02,36.38,21.3
36.26,20.85,29.65,4.8,22.75,25.575000000000003,56.8,34.62,32.62,23.83,30.75,13.0,26.045555555555552,41.7,38.73,18.0,16.43,21.5,6.78,36.2,43.72555555555555,22.82,34.54,32.75,19.0
34.45,18.55,27.27,4.8,24.43,23.707500000000003,52.7,33.55,31.57,29.95,26.55,13.0,24.806666666666665,39.52,41.62,18.52,17.9,28.75,6.8,33.42,46.031111111111116,23.9,31.93,29.25,16.52
30.57,16.25,26.15,4.45,26.35,19.040000000000003,48.12,29.97,32.1,29.52,23.42,12.72,27.897777777777776,40.2,36.85,24.77,19.77,26.02,5.8,33.47,47.28888888888889,24.15,23.98,30.75,14.82
28.71,13.85,26.35,4.45,27.65,19.64,42.62,30.25,37.73,27.88,22.27,12.62,39.68,40.35,39.97,29.7,20.8,28.43,5.03,38.03,48.76,24.07,23.46,31.05,16.3
31.97,16.58,27.92,4.32,28.65,15.272499999999999,36.4,29.62,43.85,43.02,21.83,12.05,30.627000000000002,39.3,39.62,26.58,19.6,40.3,5.03,50.05,54.635000000000005,23.88,30.99,30.5,17.77
31.41,19.58,40.83,3.38,29.12,17.6125,37.05,29.12,47.9,63.95,21.15,11.48,32.283,40.15,33.82,25.48,20.23,41.08,6.93,61.23,54.573,28.02,26.45,29.62,16.82
31.75,22.8,41.95,6.28,29.07,17.4175,42.8,28.75,48.35,51.62,21.3,11.55,36.08111111111111,41.62,36.92,24.77,20.15,33.95,7.55,74.9,57.61999999999999,27.3,21.92,33.6,16.97
32.78,28.4,35.33,4.42,29.43,23.183333333333337,47.52,28.25,48.33,46.5,22.7,11.9,42.896666666666675,41.52,36.3,22.07,17.6,34.83,8.03,53.17,60.200909090909086,27.6,18.62,39.83,22.0
33.38,28.2,29.38,3.67,29.5,16.572499999999998,42.92,27.8,48.27,47.67,23.7,11.6,30.571111111111115,41.6,35.85,27.32,17.75,38.15,8.3,44.45,53.42090909090909,29.3,17.79,37.08,25.73
33.75,26.98,26.3,3.53,29.35,16.82,41.15,28.93,46.73,55.05,22.6,11.75,24.99,42.52,37.73,31.22,20.15,38.57,8.62,40.02,52.96363636363637,28.18,18.34,32.17,24.92
33.74,22.27,24.52,3.3,28.85,16.22,40.12,29.18,45.95,55.55,21.98,12.18,31.380000000000003,42.88,51.95,36.1,27.98,42.55,7.17,37.83,53.67454545454545,26.02,18.33,33.95,23.68
33.85,18.17,26.72,3.75,28.82,21.02333333333333,40.0,29.28,44.67,55.7,23.15,11.97,27.683,44.12,52.05,32.08,25.05,54.77,6.55,44.38,51.02454545454546,25.95,18.81,32.73,21.02
34.08,20.42,30.55,4.2,28.1,20.290000000000003,39.9,30.2,42.67,45.2,24.88,11.95,27.440999999999995,42.3,48.15,29.05,19.27,54.4,6.92,57.62,50.27909090909091,25.38,28.06,33.27,16.23
33.66,22.48,46.95,4.18,25.65,20.459999999999997,44.53,32.5,40.62,49.43,27.88,12.05,28.336000000000002,42.4,34.85,27.85,15.23,61.55,6.65,58.12,51.296363636363644,25.8,31.95,35.4,17.5
33.16,24.52,44.53,4.05,25.15,20.233333333333334,50.02,36.77,37.8,47.68,26.85,11.8,28.233000000000004,43.95,35.27,25.45,16.33,58.15,7.9,62.88,52.51363636363637,24.93,46.86,37.77,19.2
34.52,27.73,38.58,7.77,24.27,19.843333333333334,61.1,41.7,36.98,45.67,26.2,11.65,24.368000000000002,45.95,29.05,21.67,22.1,55.52,7.8,50.52,51.76272727272727,24.25,56.63,45.38,24.25
24.21,25.65,31.2,4.7,23.88,21.5,57.68,42.3,37.2,39.48,33.7,11.7,27.067777777777778,44.67,29.98,24.62,29.62,50.15,7.83,49.22,44.816,25.0,47.21,43.33,23.52
6.25,23.25,28.27,4.0,24.8,19.723333333333333,53.08,39.95,36.22,33.48,33.32,11.95,28.02111111111111,43.35,32.52,24.82,28.68,45.9,7.78,45.1,44.163,25.1,41.01,34.7,18.82
19.21,18.55,26.28,3.55,22.95,19.627499999999998,45.6,37.25,35.03,29.6,29.6,12.0,27.395,40.88,31.2,29.95,24.57,44.48,6.8,42.0,44.11272727272727,24.75,37.23,35.65,16.42
25.69,14.78,26.2,3.5,25.75,18.717499999999998,47.77,36.62,34.9,32.7,28.9,11.82,31.22200000000001,44.62,31.5,32.03,21.17,50.5,6.25,42.98,44.656363636363636,26.3,34.64,32.8,17.43
27.38,18.2,38.5,3.67,21.25,19.45,44.4,37.3,33.17,51.7,42.45,10.5,39.9,52.3,29.1,25.65,,56.8,6.15,51.7,53.75555555555556,25.15,33.67,41.6,17.85
29.31,18.05,34.75,3.25,20.27,20.31,40.45,35.48,33.83,43.9,36.85,11.85,32.641999999999996,40.9,24.12,24.43,27.07,38.3,5.58,41.33,44.75111111111111,23.5,33.12,35.6,17.7
29.83,18.77,35.8,8.57,19.62,22.6025,39.85,34.45,33.6,32.62,31.75,11.93,26.458,39.6,26.6,23.12,19.98,35.83,7.0,39.08,45.16444444444445,20.9,32.25,32.08,17.2
29.24,20.82,33.28,6.83,19.62,24.0925,45.73,34.95,31.25,26.85,29.25,11.72,25.303,38.4,25.48,18.35,16.0,37.38,7.3,32.5,45.291111111111114,22.0,31.51,31.73,18.02
29.95,18.67,27.6,4.98,19.77,25.6825,49.33,35.02,27.62,26.1,27.62,11.4,27.728,38.23,25.88,17.32,12.57,40.2,7.27,32.83,44.64333333333333,23.82,30.9,30.83,18.98
26.72,17.05,25.57,4.83,20.08,24.017500000000002,45.62,33.92,28.52,24.5,25.65,11.3,26.715999999999998,35.92,25.52,18.75,11.82,42.55,7.2,33.12,46.61888888888889,24.38,27.19,26.3,16.57
28.73,14.5,24.33,5.22,19.52,19.663333333333334,42.9,33.67,30.97,27.32,24.2,11.33,29.734,38.2,26.38,25.07,12.77,37.65,6.6,31.7,45.533,25.12,21.58,28.02,14.6
30.61,13.72,24.43,4.7,19.1,20.483333333333334,37.73,34.38,30.4,34.88,20.62,11.45,110.6,40.25,26.35,27.23,16.7,50.55,5.78,32.25,47.002,23.8,26.24,30.02,14.5
30.27,12.0,25.42,4.22,18.93,16.107499999999998,31.82,32.42,30.75,39.5,17.05,11.68,23.68,37.3,27.7,24.43,24.38,46.95,6.07,38.22,52.377272727272725,22.45,28.35,31.7,15.1
29.63,12.98,33.62,5.78,18.65,102.00750000000001,40.28,29.0,31.48,36.97,15.43,11.27,20.23,40.33,22.1,23.62,22.98,40.17,6.22,45.08,52.54636363636364,21.68,25.62,30.3,16.48
31.64,13.85,36.85,6.65,19.42,57.3425,42.92,29.77,31.9,35.78,22.55,11.45,19.95,40.12,25.82,22.77,20.75,37.4,7.6,51.3,56.26090909090908,24.23,27.82,33.23,18.05
32.77,17.25,34.45,5.22,19.12,59.51666666666666,46.7,28.75,31.27,37.9,24.8,11.45,24.38,39.67,25.1,20.75,18.62,37.38,7.53,48.27,47.27,23.68,28.61,36.45,20.02
29.03,18.4,28.62,5.0,20.22,38.0175,38.73,26.15,29.83,37.88,22.68,11.65,23.95,39.1,25.55,23.48,19.77,38.4,7.3,38.8,52.83,22.85,23.23,35.35,26.02
28.53,17.7,26.82,4.22,21.1,38.03,38.3,29.6,29.68,44.42,24.2,11.23,23.68,37.55,29.58,24.9,26.0,40.95,7.38,47.778333333333336,59.88,20.2,20.82,28.02,23.7
31.14,15.13,23.9,4.32,21.27,32.3975,36.9,32.55,28.07,45.23,27.5,10.95,17.6,38.57,28.62,25.57,29.52,42.3,6.73,48.64416666666667,66.3,21.2,19.26,28.2,28.75
30.94,13.57,24.15,4.6,21.75,41.88,36.1,32.7,28.3,38.08,26.73,10.82,16.98,38.1,28.77,25.65,34.25,37.25,5.9,48.96416666666667,68.4,19.45,17.44,28.8,31.57
31.17,14.3,26.4,4.85,23.27,35.449999999999996,35.27,31.02,27.98,34.7,24.18,10.88,16.35,35.75,29.73,22.68,25.85,35.38,5.88,49.29583333333333,63.25,21.52,18.49,27.6,11.8
29.81,15.07,33.47,5.3,21.1,30.39333333333333,40.48,28.52,30.2,31.53,22.27,11.28,14.85,34.85,24.704,21.18,20.05,37.6,6.35,48.215833333333336,59.2,20.88,21.09,26.98,23.43
28.53,15.45,36.25,5.8,24.9,27.776666666666667,43.23,28.58,28.7,28.43,21.73,11.25,14.45,34.77,26.419999999999998,20.75,16.68,37.05,7.2,47.69166666666667,60.02,21.93,29.44,27.82,21.1
30.0,18.23,33.02,6.72,22.02,25.950000000000003,42.52,29.65,28.8,27.85,21.35,11.25,14.72,35.95,25.749000000000002,18.65,14.38,36.12,7.8,44.1525,60.6,23.12,48.58,28.23,20.92
31.09,17.93,28.02,6.3,21.18,26.02666666666667,38.8,30.52,29.95,24.45,21.95,11.38,15.55,35.8,25.168,19.23,12.12,35.0,7.78,43.6025,54.23,26.82,65.98,24.77,21.48
32.49,17.1,25.73,6.83,20.4,23.473333333333333,35.73,29.55,31.38,25.18,20.52,11.43,16.88,33.8,27.232000000000006,20.98,10.53,36.2,8.15,44.9,55.12,24.08,52.59,22.55,22.47
32.2,15.93,24.45,7.25,20.85,22.1025,31.55,29.05,31.17,26.88,19.75,11.38,17.77,32.95,28.43818181818182,25.1,11.5,35.48,7.28,27.15,53.58,23.18,43.04,23.45,19.1
33.1,13.65,25.9,8.93,23.07,20.705,33.62,31.05,31.95,29.6,19.82,11.4,23.65,36.92,30.320000000000004,28.12,16.38,36.95,6.12,34.67,51.5,25.85,40.91,25.58,19.73
32.45,14.7,30.8,8.43,19.65,21.9,41.4,36.8,31.25,47.65,34.15,10.3,30.1,44.05,28.61909090909091,23.6,,49.1,6.4,51.6,58.1,24.25,39.22,39.1,18.95
31.95,14.5,28.78,9.4,17.98,22.39,37.62,32.35,33.75,39.25,34.33,11.62,24.52,38.43,21.19181818181818,22.0,24.68,32.75,6.22,47.75,54.08,23.62,38.17,31.23,19.62
21.02,16.7,28.65,7.4,18.15,24.3625,48.4,29.93,32.1,32.3,31.05,11.93,20.6,33.85,22.50272727272727,21.23,19.25,29.15,7.05,47.98,55.95,22.88,36.52,28.75,18.45
20.64,18.5,30.75,6.68,18.15,25.6625,57.0,29.88,28.85,24.27,28.15,12.15,19.25,32.5,23.214545454545455,17.85,15.93,31.6,7.88,44.47,57.45,23.45,35.02,28.7,18.32
25.07,18.73,26.45,5.75,18.33,26.837500000000002,51.27,31.18,28.32,28.88,25.6,11.95,22.62,36.67,23.294999999999998,18.08,12.75,33.18,7.57,64.12,62.15,23.6,34.53,29.05,20.12
32.06,17.23,27.62,6.8,18.05,24.9425,42.15,32.33,28.5,30.45,24.07,12.3,24.57,33.83,28.62,19.05,12.82,34.38,7.9,113.92,70.55,24.35,29.69,25.05,22.8
30.91,16.18,25.15,6.12,18.3,20.34,38.75,32.58,30.9,25.7,21.43,12.65,31.28,35.0,30.88,24.28,13.93,30.65,7.42,34.72538461538461,73.6,22.92,30.03,25.35,20.0
30.19,13.25,25.1,5.5,17.43,20.69,33.55,31.2,30.93,26.3,19.27,12.15,36.2,33.68,31.1,27.55,19.77,36.55,6.2,37.92769230769231,73.2,21.85,30.33,28.48,19.8
30.45,12.12,26.15,5.38,17.8,16.1825,32.27,29.6,29.73,23.57,18.65,11.62,35.57,34.17,34.08,23.77,20.27,34.67,6.03,52.4,70.22,22.27,32.22,29.9,20.12181818181818
25.7,11.35,23.95,5.42,17.93,17.095,33.45,26.73,29.27,23.62,15.97,11.22,32.75,33.4,26.38,21.83,17.48,31.57,5.95,43.1,71.97,19.27,31.23,28.05,29.05
31.47,13.2,26.18,5.83,18.35,18.630000000000003,36.28,26.2,29.77,26.62,17.62,11.22,35.0,33.73,28.2,20.15,14.32,32.1,6.1,47.85,57.98,21.5,28.86,25.78,20.55
32.27,17.57,28.73,7.1,19.95,25.540000000000003,44.33,25.88,32.62,39.75,18.6,11.0,36.8,33.35,32.35,17.98,14.05,31.43,6.98,36.15,51.92,22.33,33.91,25.27,15.5
28.60846153846154,17.12,24.93,7.78,20.83,17.3,46.9,25.75,34.95,35.07,18.93,11.2,34.33,33.92,31.45,17.07,11.25,34.92,7.42,32.1,48.27,21.0,34.39,25.27,16.6
28.160769230769233,16.33,22.93,7.62,21.67,16.4725,42.3,26.92,36.55,41.2,20.83,11.35,37.47,34.1,32.23,18.4,8.82,39.07,7.58,32.02,51.85,24.6,34.84,23.12,18.35
4.07,15.65,22.82,8.3,24.1,22.448,38.55,26.65,38.33,38.3,20.73,11.35,42.17,32.45,29.857692307692307,25.93,9.82,37.27,7.32,34.72,54.2,24.83,40.8,22.88,20.48
1.88,13.15,23.75,6.05,24.27,26.9675,29.25,25.18,41.08,38.5,15.75,12.32,37.3,33.27,29.74230769230769,30.43,12.92,33.27,5.8,34.97,47.02,24.77,35.41,26.07,21.32
2.67,13.57,25.88,5.92,25.23,29.5925,27.5,25.57,37.05,37.55,15.93,11.68,36.88,33.03,28.907692307692308,25.4,13.12,34.65,5.33,33.48,42.38,24.95,35.62,26.62,18.57
23.41,14.53,26.02,7.47,24.52,26.0125,30.9,25.73,39.23,34.95,14.5,11.75,36.25,34.95,22.376363636363635,26.7,13.38,35.25,5.9,37.38,42.98,26.95,41.87,27.65,17.17
28.2,17.38,26.57,6.22,25.1,22.9675,38.12,24.25,40.83,31.5,12.5,11.5,31.38,35.43,24.521818181818176,25.18,11.05,38.05,6.22,41.55,37.4,26.83,50.95,25.83,17.18
35.67,22.07,25.43,6.35,23.9,21.6175,45.78,25.02,39.75,27.85,12.18,11.77,30.33,35.62,23.900000000000002,22.73,10.18,36.1,7.15,41.72,35.8,28.62,55.49,28.05,18.12
37.85,22.1,25.15,5.7,24.1,21.3075,53.78,26.45,37.75,24.95,11.7,11.65,30.7,36.0,23.366363636363634,22.85,9.1,34.75,7.75,42.83,35.35,33.45,46.89,28.12,17.42
37.69,19.7,23.8,7.05,23.65,19.22,56.3,27.9,36.73,23.25,10.12,11.28,32.1,36.88,25.232727272727274,25.62,9.68,32.25,7.9,45.15,33.9,28.35,42.48,27.93,18.35
35.93,17.85,22.83,6.22,23.18,19.276,56.83,29.88,35.35,22.62,10.75,11.03,34.0,37.0,26.016666666666666,30.3,12.95,29.1,7.65,49.0,34.03,28.23,39.26,27.57,20.27
36.37,14.32,24.07,5.97,26.55,18.744,60.95,34.2,34.75,28.12,11.1,11.1,53.55,41.33,27.3475,34.5,22.12,37.03,6.38,66.92,34.6,30.95,37.0,31.55,23.83
36.12,17.7,33.5,5.47,21.35,22.58,54.5,40.05,32.05,58.85,26.35,10.15,43.1,49.85,25.480833333333333,28.0,,45.9,5.8,63.2,87.7,30.7,35.37,44.85,15.8
34.92,18.38,30.65,5.67,20.08,22.089999999999996,46.97,34.3,34.2,44.2,42.73,11.03,32.38,38.98,19.3775,25.2,27.43,30.15,5.45,47.38,56.08,50.05,34.23,38.48,15.0
36.3,20.23,32.48,5.05,21.55,24.066000000000003,46.03,30.98,32.52,32.65,42.12,11.18,26.5,34.7,21.530833333333334,23.6,19.62,25.77,5.72,41.38,54.9,68.38,33.82,32.48,15.05
37.44,23.45,36.4,6.5,21.68,25.144,54.4,29.95,30.35,25.57,36.2,10.62,30.3,33.33,22.313333333333336,18.6,14.35,25.53,6.82,38.67,53.35,66.53,33.48,30.18,16.62
